"id","Year","Paper","Keyword_1","Keyword_2","Keyword_3","Keyword_4","NewKeyword"
"86","1997","middle-agents for the internet","distributed ai"," interagent communication","nan","nan","multiagent systems"
"87","1997","semantics and conversations for an agent communication language","distributed ai"," interagent communication","nan","nan","multiagent systems"
"88","1997","persuasion among agents:  an approach to implementing a group decision system based on multi-agent negotiation","distributed ai"," interagent communication","nan","nan","multiagent systems"
"89","1997","cooperation structures","distributed ai"," coordination and cooperation","nan","nan","multiagent systems"
"90","1997","exploration and adaptation in multiagent systems:  a model-based approach","distributed ai"," coordination and cooperation","nan","nan","multiagent systems"
"91","1997","the effects of runtime coordination strategies within static organizations","distributed ai"," coordination and cooperation","nan","nan","multiagent systems"
"92","1997","dynamic prioritization of complex agents in distributed constraint satisfaction problems","distributed ai"," multiagent algorithms","nan","nan","multiagent systems"
"93","1997","a dynamic theory of incentives in multi-agent systems","distributed ai"," multiagent algorithms","nan","nan","multiagent systems"
"94","1997","on the gains and losses of speculation in equilibrium markets","distributed ai"," multiagent algorithms","nan","nan","multiagent systems"
"95","1997","the use of meta-level information in learning situation-specific coordination","distributed ai"," multiagent algorithms","nan","nan","multiagent systems"
"96","1997","analysis of inheritance mechanisms in agent-oriented programming","distributed ai"," multiagent algorithms","nan","nan","multiagent systems"
"97","1997","an expert system using nonmonotonic techniques for beneefits inquiry in the insurance industry","expert systems","nan","nan","nan","knowledge representation"
"98","1997","can we benefit from metrics in kbs development? ijcai (1) 1997:  662-667","expert systems","nan","nan","nan","knowledge representation"
"99","1997","multi-perspective modeling of the air camaign planning process","expert systems","nan","nan","nan","knowledge representation"
"100","1997","a model of strategy for the game of go using abstraction mechanisms","game playing"," go","nan","nan","multidisciplinary topics"
"101","1997","an evolutionary algorithm extended by ecological analogy and its application to the game of go","game playing"," go","nan","nan","multidisciplinary topics"
"102","1997","search versus knowledge in game-playing programs revisited","game playing","nan","nan","nan","multidisciplinary topics"
"103","1997","learning strategies in games by anticipation","game playing","nan","nan","nan","multidisciplinary topics"
"104","1997","translingual information retrieval:  a comparative evaluation","information retrieval","nan","nan","nan","machine learning"
"105","1997","adaptive personal information filtering system that organizes personal profiles automatically","information retrieval","nan","nan","nan","machine learning"
"106","1997","an index navigator for understanding and expressing user's coherent interest","information retrieval","nan","nan","nan","machine learning"
"107","1997","wrapper induction for information extraction","information retrieval","nan","nan","nan","machine learning"
"108","1997","cospex:  a system for constructing private digital libraries","information retrieval","nan","nan","nan","machine learning"
"109","1997","using a bayesian network induction approach for text categorization","information retrieval","nan","nan","nan","machine learning"
"110","1997","toward structured retrieval in semi-structured information spaces","information retrieval","nan","nan","nan","machine learning"
"111","1997","the self-organizing desk","information retrieval","nan","nan","nan","machine learning"
"112","1997","a learning system for selective dissemination of information","information retrieval","nan","nan","nan","machine learning"
"113","1997","web watcher:  a tour guide for the world wide web","information retrieval","nan","nan","nan","machine learning"
"114","1997","recursive plans for information gathering","information retrieval","nan","nan","nan","machine learning"
"115","1997","efficiently executing information-gathering plans","information retrieval","nan","nan","nan","machine learning"
"116","1997","unbiased assesment of learning algorithms","learning","nan","nan","nan","machine learning"
"117","1997","is nonparametric learning practical in very high dimensional spaces? ijcai (2) 1997:  804-809","learning","nan","nan","nan","machine learning"
"118","1997","discovering admissible models of complex systems based on scale-types and idemtity constraints","learning","nan","nan","nan","machine learning"
"119","1997","an adaptive architecture for modular q-learning","learning"," reinforcement learning","nan","nan","machine learning"
"120","1997","a convergent reinforcement learning algorithm in the continuous case based on a finite difference method","learning"," reinforcement learning","nan","nan","machine learning"
"121","1997","ants and reinforcement learning:  a case study in routing in dynamic networks","learning"," reinforcement learning","nan","nan","machine learning"
"122","1997","integrating models of discrimination and characterization for learning from examples in open domains","learning"," decision trees","nan","nan","machine learning"
"123","1997","decision tree grafting","learning"," decision trees","nan","nan","machine learning"
"124","1997","noise-tolerant windowing","learning"," decision trees","nan","nan","machine learning"
"125","1997","ensembles as a sequence of classifiers","learning"," classification","nan","nan","machine learning"
"126","1997","stacked generalizations:  when does it work? ijcai (2) 1997:  866-873","learning"," classification","nan","nan","machine learning"
"127","1997","alignment algorithms for learning to read aloud","learning"," applications","nan","nan","machine learning"
"128","1997","socially embedded learning of the office-conversant mobil robot jijo-2","learning"," applications","nan","nan","machine learning"
"129","1997","tractable induction and classification in first order logic via stochastic matching","learning"," logic and ipl","nan","nan","machine learning"
"130","1997","rhb+:  a type-oriented ilp system learning from positive data","learning"," logic and ipl","nan","nan","machine learning"
"131","1997","integrating explanatory and descriptive learning in ilp","learning"," logic and ipl","nan","nan","machine learning"
"132","1997","combining knowledge acquisition and machine learning to control dynamic systems","learning"," dynamic environments","nan","nan","machine learning"
"133","1997","skill reconstruction as induction of lq controllers with subgoals","learning"," dynamic environments","nan","nan","machine learning"
"134","1997","learning topological maps with weak local odometric information","learning"," dynamic environments","nan","nan","machine learning"
"135","1997","discovering interesting holes in data","learning","nan","nan","nan","machine learning"
"136","1997","an analysis on crossovers for real number chromosomes in an infinite population size","learning","nan","nan","nan","machine learning"
"137","1997","minimum splits based discretization for continuous features","learning","nan","nan","nan","machine learning"
"138","1997","dynamically imroving explanations:  a revision-based approach to explanation generation","natural language processing"," generation","nan","nan","nlp"
"139","1997","exploiting the addressee's inferential capabilities in presenting mathematical proofs","natural language processing"," generation","nan","nan","nlp"
"140","1997","proof verbalization as an application of nlg","natural language processing"," generation","nan","nan","nlp"
"141","1997","corpus-based chinese-korean abstracting translation system","natural language processing"," machine translation","nan","nan","nlp"
"142","1997","a hybrid approach to interactive machine translation - integrating rule-based, corpus-based, and example-basedmethod","natural language processing"," machine translation","nan","nan","nlp"
"143","1997","improving performance of transfer-driven machine translation with extra-linguistic informatioon from context, situation and environment","natural language processing"," machine translation","nan","nan","nlp"
"144","1997","dynamic, user-centered resolution in interactive stories","natural language processing"," dialogue and discourse","nan","nan","nlp"
"145","1997","""tall"", ""good"", ""high"" - compared to what? ijcai (2) 1997:  996-1001","natural language processing"," dialogue and discourse","nan","nan","nlp"
"146","1997","charts, interaction-free grammars, and the compact representation of ambiguity","natural language processing"," dialogue and discourse","nan","nan","nlp"
"147","1997","on the interaction of metonymies and anaphora","natural language processing"," dialogue and discourse","nan","nan","nlp"
"148","1997","computing parallelism in discourse","natural language processing"," dialogue and discourse","nan","nan","nlp"
"149","1997","content ordering in the generation of persuasive discourse","natural language processing"," dialogue and discourse","nan","nan","nlp"
"150","1997","artimis:  natural dialogue meets rational agency","natural language processing"," dialogue and discourse","nan","nan","nlp"
"151","1997","an information-based approach for guiding multi-modal human-computer-interaction","natural language processing"," dialogue and discourse","nan","nan","nlp"
"152","1997","interactive disambiguation of natural language input:  a methodology and two implementatioons for french and english","natural language processing"," dialogue and discourse","nan","nan","nlp"
"153","1997","a method of generating calligraphy of japanese character using deformable contourse","graphics","nan","nan","nan","vision & robotics"
"154","1997","the representation and use of a visual lexicon for automated graphics generation","graphics","nan","nan","nan","vision & robotics"
"155","1997","on the efficient classification of data structures by neural networks","neural nets"," rule extractions","nan","nan","machine learning"
"156","1997","on the role of hierarchy for neural network interpretation","neural nets"," rule extractions","nan","nan","machine learning"
"157","1997","law discovery using neural networks","neural nets"," rule extractions","nan","nan","machine learning"
"158","1997","active diagnosis by self-organization:  an approach by the immune network metaphor","neural nets"," rule extractions","nan","nan","machine learning"
"159","1997","meaning and the mental lexicon","neural nets"," language and structure processing","nan","nan","machine learning"
"160","1997","extracting propositions from trained neural networks","neural nets"," language and structure processing","nan","nan","machine learning"
"161","1997","convergence time characteristics of an associative memory for natural language processing","neural nets"," language and structure processing","nan","nan","machine learning"
"162","1997","combining probabilistic population codes","neural nets"," neurobiologically inspired computation","nan","nan","machine learning"
"163","1997","self-organization and segmentation with laterally connected spiking neurons","neural nets"," neurobiologically inspired computation","nan","nan","machine learning"
"164","1997","a music stream segregation system based on adaptive multi-agents","neural nets"," neurobiologically inspired computation","nan","nan","machine learning"
"165","1997","an effective learning method for max-min neural networks","neural nets"," learning algorithms and architectures","nan","nan","machine learning"
"166","1997","avoiding overfitting with bp-som","neural nets"," learning algorithms and architectures","nan","nan","machine learning"
"167","1997","evolvable hardware for generalized neural networks","neural nets"," learning algorithms and architectures","nan","nan","machine learning"
"168","1997","prioritized goal decomposition of markov decision processes:  toward a synthesis of classical and decision theoretic planning","planning"," relations among techniques","nan","nan","planning methods"
"169","1997","model minimization, regression, and propositional strips planning","planning"," relations among techniques","nan","nan","planning methods"
"170","1997","automatic sat-compilation of planning problems","planning"," relations among techniques","nan","nan","planning methods"
"171","1997","a reactive planner for a model-based executive","planning"," reactive planning","nan","nan","planning methods"
"172","1997","modeling command entities","planning"," reactive planning","nan","nan","planning methods"
"173","1997","vision-motion planning of a mobile robot considering vision uncertainty and planning cost","planning"," planning under uncertainty","nan","nan","planning methods"
"174","1997","handling duration uncertainty in meta-level control of progressive processing","planning"," planning under uncertainty","nan","nan","planning methods"
"175","1997","adaptive goal recognition","planning"," reasoning about plans","nan","nan","planning methods"
"176","1997","reasoning about plans","planning"," reasoning about plans","nan","nan","planning methods"
"177","1997","reasoning about concurrent execution prioritized interrupts, and exogenous actions in the situation calculus","planning"," reasoning about plans","nan","nan","planning methods"
"178","1997","learning to improve both efficiency and quality of planning","planning"," reasoning about plans","nan","nan","planning methods"
"179","1997","robust periodic planning and execution for autonomous spacecraft","planning"," applications and support","nan","nan","planning methods"
"180","1997","system assistance in structured domain model development","planning"," applications and support","nan","nan","planning methods"
"181","1997","par-kap:  a knowledge acquisition tool for building practical planning systems","planning"," applications and support","nan","nan","planning methods"
"182","1997","combining local search and look-ahead for scheduling and constraint satisfaction problems","scheduling","nan","nan","nan","planning methods"
"183","1997","automatic generation of heuristics for scheduling","scheduling","nan","nan","nan","planning methods"
"184","1997","development of iterative real-time scheduler to planner feedback","scheduling","nan","nan","nan","planning methods"
"185","1997","object identification in a bayesian context","probabilistic reasoning","nan","nan","nan","knowledge representation"
"186","1997","probabilistic partial evaluation:  exploiting rule structure in probabilistic inference","probabilistic reasoning"," efficiency","nan","nan","knowledge representation"
"187","1997","space-efficient inference in dynamic probabilistic networks","probabilistic reasoning"," efficiency","nan","nan","knowledge representation"
"188","1997","mini-buckets:  a general scheme for generating approximations in automated reasoning","probabilistic reasoning"," efficiency","nan","nan","knowledge representation"
"189","1997","a study of causal discovery with weak links and small samples","probabilistic reasoning"," causal discovery","nan","nan","knowledge representation"
"190","1997","ilp with noise and fixed example size:  a bayesian approach","probabilistic reasoning"," causal discovery","nan","nan","knowledge representation"
"191","1997","learning probabilities for noisy first-order rules","probabilistic reasoning"," causal discovery","nan","nan","knowledge representation"
"192","1997","a symmetric view of utilities and probabilities","probabilistic reasoning","nan","nan","nan","knowledge representation"
"193","1997","prism:  a language for symbolic-statistical modeling","probabilistic reasoning","nan","nan","nan","knowledge representation"
"194","1997","multi-robot exploration of an unknown environment, efficiently reducing the odometry error","robotics","nan","nan","nan","reinforcement learning"
"195","1997","active mobile robot localization","robotics","nan","nan","nan","reinforcement learning"
"196","1997","reactive combination of belief over time using direct perception","robotics","nan","nan","nan","reinforcement learning"
"197","1997","scaling the dynamic approach to autonomous path planning:  planning horizon dynamics","robotics","nan","nan","nan","reinforcement learning"
"198","1997","learning to coordinate controllers - reinforcement learning on a control basis","robotics","nan","nan","nan","reinforcement learning"
"199","1997","situated actions and cognition","robotics","nan","nan","nan","reinforcement learning"
"200","1997","interleaved depth-first search","search"," depth-first search","nan","nan","applications"
"201","1997","depth-bounded discrepancy search","search"," depth-first search","nan","nan","applications"
"202","1997","from approximate to optimal solutions:  constructing pruning and propagation rules","search"," bin packing","nan","nan","applications"
"203","1997","an approximate 0-1 edge-labeling algorithm for constrained bin-packing problem","search"," bin packing","nan","nan","applications"
"204","1997","applications of the situation calculus to formalizing control and strategy information:  the prolog cut operator","temporal reasoning","nan","nan","nan","knowledge representation"
"205","1997","reasoning by regression:  pre- and postdiction procedures for logics of action and change","temporal reasoning","nan","nan","nan","knowledge representation"
"206","1997","change, change, change:  three approaches","temporal reasoning","nan","nan","nan","knowledge representation"
"207","1997","reasoning with incomplete initial information and nondeterminism in situation calculus","temporal reasoning","nan","nan","nan","knowledge representation"
"208","1997","defeasible specifications in action theories","temporal reasoning","nan","nan","nan","knowledge representation"
"209","1997","reasoning about action in polynomial time","temporal reasoning","nan","nan","nan","knowledge representation"
"210","1997","qualitative temporal reasoning with points and durations","temporal reasoning","nan","nan","nan","knowledge representation"
"211","1997","on finding a solution in temporal constraint satisfaction problems","temporal reasoning","nan","nan","nan","knowledge representation"
"212","1997","towards a complete classification of tractability in allen's algebra","temporal reasoning","nan","nan","nan","knowledge representation"
"213","1997","comparing random starts local search with key feature matching","vision","nan","nan","nan","knowledge representation"
"214","1997","chain of circles for matching and recognition of planar shapes","vision","nan","nan","nan","knowledge representation"
"215","1997","name-it:  naming and detecting faces in video by the integration of image and natural language processing","vision","nan","nan","nan","knowledge representation"
"216","1997","neural network based photometric strereo using illumination planning","vision"," stereo vision","nan","nan","knowledge representation"
"217","1997","a general expression of the fundamental matrix for both perspective and affine cameras","vision"," stereo vision","nan","nan","knowledge representation"
"219","1997","robust real-time face tracking and gesture recognition","videos","nan","nan","nan","vision & robotics"
"220","1997","pac - personality and cognition:  an interactive system for modelling agent scenarios","videos","nan","nan","nan","vision & robotics"
"241","1999","lemma generation for model elimination by combining top-down and bottom-up inference","automated reasoning"," theorem proving","nan","nan","knowledge representation"
"242","1999","cooperation of heterogeneous provers ","automated reasoning"," theorem proving","nan","nan","knowledge representation"
"243","1999","upml:  a framework for knowledge system reuse","automated reasoning"," theorem proving","nan","nan","knowledge representation"
"244","1999","complexity results for propositional closed world reasoning and circumscription from tractable knowledge bases","automated reasoning"," nonmonotonic reasoning 1","nan","nan","knowledge representation"
"245","1999","credulous nonmonotonic inference","automated reasoning"," nonmonotonic reasoning 1","nan","nan","knowledge representation"
"246","1999","preferred arguments are harder to compute than stable extension","automated reasoning"," nonmonotonic reasoning 1","nan","nan","knowledge representation"
"247","1999","abducing priorities to derive intended conclusions","automated reasoning"," nonmonotonic reasoning 2","nan","nan","knowledge representation"
"248","1999","maximum entropy and variable strength defaults","automated reasoning"," nonmonotonic reasoning 2","nan","nan","knowledge representation"
"249","1999","on the relations between probabilistic logic and p-cms","automated reasoning"," nonmonotonic reasoning 2","nan","nan","knowledge representation"
"250","1999","on the complexity of model checking for propositional default logics:  new results and tractable cases","automated reasoning"," nonmonotonic reasoning 3"," model checking methods","nan","knowledge representation"
"251","1999","stable model checking made easy","automated reasoning"," nonmonotonic reasoning 3"," model checking methods","nan","knowledge representation"
"252","1999","model checking for nonmonotonic logics:  algorithms and complexity","automated reasoning"," nonmonotonic reasoning 3"," model checking methods","nan","knowledge representation"
"253","1999","reasoning in expressive description logics with fixpoints based on automata on infinite trees","automated reasoning"," description logics 1","nan","nan","knowledge representation"
"254","1999","reasoning with concrete domains","automated reasoning"," description logics 1","nan","nan","knowledge representation"
"255","1999","computing least common subsumers in description logics with existential restrictions","automated reasoning"," description logics 1","nan","nan","knowledge representation"
"256","1999","multi-dimensional description logics","automated reasoning"," description logics 2","nan","nan","knowledge representation"
"257","1999","on the relation of resolution and tableaux proof systems for description logics","automated reasoning"," description logics 2","nan","nan","knowledge representation"
"258","1999","preferential semantics for causal systems","automated reasoning"," semantics and models","nan","nan","knowledge representation"
"259","1999","query evaluation and progression in aol knowledge bases","automated reasoning"," semantics and models","nan","nan","knowledge representation"
"260","1999","axiomatic foundations for qualitative/ordinal decisions with partial preferences","automated reasoning"," semantics and models","nan","nan","knowledge representation"
"261","1999","the ramification problem in the event calculus","automated reasoning"," reasoning about action 1","nan","nan","knowledge representation"
"262","1999","logic-based subsumption architecture","automated reasoning"," reasoning about action 1","nan","nan","knowledge representation"
"263","1999","automata theory for reasoning about actions","automated reasoning"," reasoning about action 1","nan","nan","knowledge representation"
"264","1999","projection using regression and sensors","automated reasoning"," reasoning about action 2","nan","nan","knowledge representation"
"265","1999","expressive reasoning about action in nondeterministic polynomial time","automated reasoning"," reasoning about action 2","nan","nan","knowledge representation"
"266","1999","a logic of intention","automated reasoning"," reasoning about action 2","nan","nan","knowledge representation"
"267","1999","considerations on a similarity-based approach to beleif change","automated reasoning"," belief revision","nan","nan","knowledge representation"
"268","1999","postulates for conditional belief revision","automated reasoning"," belief revision","nan","nan","knowledge representation"
"269","1999","an inconsistency tolerant model for belief representation and belief revision","automated reasoning"," belief revision","nan","nan","knowledge representation"
"270","1999","programming resource-bounded deliberative agents","automated reasoning"," resource-bounded reasoning","nan","nan","knowledge representation"
"271","1999","exploiting a common property resource under a fairness constraint:  a case study","automated reasoning"," resource-bounded reasoning","nan","nan","knowledge representation"
"272","1999","maximization of the average quality of anytime contract algorithms over a time interval","automated reasoning"," resource-bounded reasoning","nan","nan","knowledge representation"
"273","1999","demand-driven discovery of adaptation knowledge","case-based reasoning"," case-based reasoning 1","nan","nan","machine learning"
"274","1999","dynamic refinement of feature weights using quantitative introspective learning","case-based reasoning"," case-based reasoning 1","nan","nan","machine learning"
"275","1999","remembering to add:  competence-preserving case-addition policies for case base maintenance","case-based reasoning"," case-based reasoning 1","nan","nan","machine learning"
"276","1999","pebm:  a probabilistic exemplar based model","case-based reasoning"," case-based reasoning 2","nan","nan","machine learning"
"277","1999","toward a probabilistic formalization of case-based inference","case-based reasoning"," case-based reasoning 2","nan","nan","machine learning"
"278","1999","a lattice machine approach to automated casebase design:  marrying lazy and eager learning","case-based reasoning"," case-based reasoning 2","nan","nan","machine learning"
"289","1999","an anthropocentric tool for decision making support","cognitive modeling"," cognitive modeling 1","nan","nan","cognitive modeling"
"290","1999","autonomous concept formation","cognitive modeling"," cognitive modeling 1","nan","nan","cognitive modeling"
"291","1999","reasoning about actions in narrative understanding","cognitive modeling"," cognitive modeling 1","nan","nan","cognitive modeling"
"292","1999","using a cognitive architecture to plan dialogs for the adaptive explanation of proofs","cognitive modeling"," cognitive modeling 2","nan","nan","cognitive modeling"
"293","1999","investigating the emergence of speech sounds","cognitive modeling"," cognitive modeling 2","nan","nan","cognitive modeling"
"294","1999","computer aided tracing of children?s physics learning:  a teacher oriented view","cognitive modeling"," cognitive modeling 2","nan","nan","cognitive modeling"
"295","1999","diagrammatic proofs","cognitive modeling"," cognitive modeling 3"," spatial reasoning","nan","cognitive modeling"
"296","1999","modeling the basic meanings of path relations","cognitive modeling"," cognitive modeling 3"," spatial reasoning","nan","cognitive modeling"
"297","1999","a comparison of structural csp decomposition methods","constraint satisfaction"," constraint satisfaction 1","nan","nan","search & constraint satisfaction"
"298","1999","solving strategies for highly symmetric csps","constraint satisfaction"," constraint satisfaction 1","nan","nan","search & constraint satisfaction"
"299","1999","extending consistent domains of numeric csp","constraint satisfaction"," constraint satisfaction 1","nan","nan","search & constraint satisfaction"
"300","1999","the difference all-difference makes","constraint satisfaction"," constraint satisfaction 2","nan","nan","search & constraint satisfaction"
"301","1999","the symmetric alldiff constraint","constraint satisfaction"," constraint satisfaction 2","nan","nan","search & constraint satisfaction"
"302","1999","branch and bound with mini-bucket heuristics","constraint satisfaction"," constraint satisfaction 2","nan","nan","search & constraint satisfaction"
"303","1999","improving search using indexing:  a study with temporal csps","constraint satisfaction"," constraint satisfaction 3","nan","nan","search & constraint satisfaction"
"304","1999","a new tractable subclass of the rectangle algebra","constraint satisfaction"," constraint satisfaction 3","nan","nan","search & constraint satisfaction"
"305","1999","maximal tractable fragments of the region connection calculus:  a complete analysis","constraint satisfaction"," constraint satisfaction 3","nan","nan","search & constraint satisfaction"
"306","1999","path consistency on triangulated constraint graphs","constraint satisfaction"," constraint satisfaction 4","nan","nan","search & constraint satisfaction"
"307","1999","a new method to index and query sets","constraint satisfaction"," constraint satisfaction 4","nan","nan","search & constraint satisfaction"
"308","1999","constraint propagation and value acquisition:  why we should do it interactively","constraint satisfaction"," constraint satisfaction 4","nan","nan","search & constraint satisfaction"
